Beta;Strategy;;;
;Direct;Medium;High;Low
0.00;558;43;119;191
0.25;;68;87;144
0.50;;98;70;107
0.75;;153;61;63
1.00;;255;49;37
1.25;;361;39;20
1.50;;448;29;5
1.75;;500;20;5
2.00;;534;14;5
