k;Silhouette (?);Calinski-Harabasz (?);Davies-Bouldin (?);minimum;maximum;Balance ratio;Largest (%)
4;0.22;8.04;1.02;5;72;0.07;79.12
8;0.37;8.01;1.04;4;55;0.07;60.44
12;0.50;8.38;1.00;3;43;0.07;47.25
16;0.57;9.38;1.29;3;24;0.13;26.37
20;0.65;10.66;1.18;2;16;0.13;17.58
24;0.70;12.91;1.11;2;8;0.25;8.79
28;0.71;15.89;0.85;2;8;0.25;8.79
32;0.73;21.29;0.71;1;8;0.13;8.79
36;0.73;28.81;0.56;1;8;0.13;8.79
40;0.72;46.23;0.48;1;8;0.13;8.79
