Strategy High - k=20;;;
Beta;Largest Cluster;2nd Largest Cluster;Smallest Cluster
1.50;301;30;13
1.75;188;20;8
2.00;128;17;7
2.25;90;13;6
2.50;47;10;5
2.75;35;6;3
3.00;21;5;2
3.25;12;4;2
3.50;4;4;2
3.75;3;2;1
4.00;3;2;1
