Beta;Strategy Direct;;Strategy High;
;Terms (Concepts);Terms;Excluded (%);Concepts
0.75;"3110
(9535)";1602;48.49;666
1.00;;1040;66.56;406
1.25;;906;70.87;263
1.50;;625;79.90;175
1.75;;453;85.43;126
2.00;;343;88.97;96
2.25;;248;92.03;71
2.50;;176;94.34;48
2.75;;122;96.08;44
3.00;;78;97.49;39
3.25;;52;98.33;32
3.50;;37;98.81;24
3.75;;24;99.23;19
4.00;;15;99.52;12
