Strategy High - k=16;;;
Beta;Largest Cluster;2nd Largest Cluster;Smallest Cluster
1.50;370;23;14
1.75;216;39;11
2.00;167;16;9
2.25;108;15;7
2.50;67;11;6
2.75;51;6;4
3.00;29;5;2
3.25;16;4;2
3.50;4;4;2
3.75;3;2;1
4.00;3;2;1
