k;Silhouette (?);Calinski-Harabasz (?);Dunn (?);Davies-Bouldin (?);minimum;maximum;Balance ratio;Largest (%)
2;0.25;8.79;0.63;1.72;13;16;0.81;55.17
3;0.33;9.14;0.63;1.22;6;16;0.38;55.17
4;0.39;10.46;0.65;1.24;6;9;0.67;31.03
5;0.46;12.76;0.79;0.91;3;7;0.43;24.14
6;0.56;14.16;0.79;0.76;3;7;0.43;24.14
7;0.62;16.49;0.83;0.70;3;6;0.50;20.69
8;0.68;18.96;0.86;0.61;2;6;0.33;20.69
9;0.73;22.32;0.86;0.70;2;4;0.50;13.79
10;0.74;25.47;0.87;0.65;1;4;0.25;13.79
